,updated,regions
0,1730432449,"{'region': 'All', 'prices': [{'name': '11-Seven Gosford West', 'type': 'E10', 'price': 151.9, 'suburb': 'Gosford West', 'state': 'NSW', 'postcode': '2250', 'lat': -33.42693, 'lng': 151.3301}, {'name': '11-Seven Gosford West', 'type': 'U91', 'price': 153.9, 'suburb': 'Gosford West', 'state': 'NSW', 'postcode': '2250', 'lat': -33.42693, 'lng': 151.3301}, {'name': '11-Seven Albion Park Rail South', 'type': 'U95', 'price': 169.9, 'suburb': 'Albion Park Rail South', 'state': 'NSW', 'postcode': '2527', 'lat': -34.553516779973, 'lng': 150.7898157835}, {'name': '11-Seven Gosford West', 'type': 'U98', 'price': 174.9, 'suburb': 'Gosford West', 'state': 'NSW', 'postcode': '2250', 'lat': -33.42693, 'lng': 151.3301}, {'name': '11-Seven Ashfield', 'type': 'Diesel', 'price': 163.9, 'suburb': 'Ashfield', 'state': 'NSW', 'postcode': '2131', 'lat': -33.89058, 'lng': 151.12955}, {'name': '11-Seven Footscray West', 'type': 'LPG', 'price': 81.7, 'suburb': 'Footscray West', 'state': 'VIC', 'postcode': '3012', 'lat': -37.811231527442, 'lng': 144.86754479713}]}"
1,1730432449,"{'region': 'VIC', 'prices': [{'name': '11-Seven Shepparton East', 'type': 'E10', 'price': 163.9, 'suburb': 'Shepparton', 'state': 'VIC', 'postcode': '3630', 'lat': -36.382721085221, 'lng': 145.41316071802}, {'name': '11-Seven Altona', 'type': 'U91', 'price': 159.9, 'suburb': 'Altona North', 'state': 'VIC', 'postcode': '3018', 'lat': -37.849481038822, 'lng': 144.84471326044}, {'name': '11-Seven Altona', 'type': 'U95', 'price': 174.9, 'suburb': 'Altona North', 'state': 'VIC', 'postcode': '3018', 'lat': -37.849481038822, 'lng': 144.84471326044}, {'name': '11-Seven Altona', 'type': 'U98', 'price': 182.9, 'suburb': 'Altona North', 'state': 'VIC', 'postcode': '3018', 'lat': -37.849481038822, 'lng': 144.84471326044}, {'name': '11-Seven Lavington', 'type': 'Diesel', 'price': 169.9, 'suburb': 'Lavington', 'state': 'VIC', 'postcode': '2641', 'lat': -36.049073758923, 'lng': 146.9320303106}, {'name': '11-Seven Footscray West', 'type': 'LPG', 'price': 81.7, 'suburb': 'Footscray West', 'state': 'VIC', 'postcode': '3012', 'lat': -37.811231527442, 'lng': 144.86754479713}]}"
2,1730432449,"{'region': 'NSW', 'prices': [{'name': '11-Seven Gosford West', 'type': 'E10', 'price': 151.9, 'suburb': 'Gosford West', 'state': 'NSW', 'postcode': '2250', 'lat': -33.42693, 'lng': 151.3301}, {'name': '11-Seven Gosford West', 'type': 'U91', 'price': 153.9, 'suburb': 'Gosford West', 'state': 'NSW', 'postcode': '2250', 'lat': -33.42693, 'lng': 151.3301}, {'name': '11-Seven Albion Park Rail South', 'type': 'U95', 'price': 169.9, 'suburb': 'Albion Park Rail South', 'state': 'NSW', 'postcode': '2527', 'lat': -34.553516779973, 'lng': 150.7898157835}, {'name': '11-Seven Gosford West', 'type': 'U98', 'price': 174.9, 'suburb': 'Gosford West', 'state': 'NSW', 'postcode': '2250', 'lat': -33.42693, 'lng': 151.3301}, {'name': '11-Seven Ashfield', 'type': 'Diesel', 'price': 163.9, 'suburb': 'Ashfield', 'state': 'NSW', 'postcode': '2131', 'lat': -33.89058, 'lng': 151.12955}, {'name': '11-Seven Mona Vale', 'type': 'LPG', 'price': 89.9, 'suburb': 'Mona Vale', 'state': 'NSW', 'postcode': '2103', 'lat': -33.676873898945, 'lng': 151.30817651751}]}"
3,1730432449,"{'region': 'QLD', 'prices': [{'name': '11-Seven Pimpama', 'type': 'E10', 'price': 157.3, 'suburb': 'Pimpama', 'state': 'QLD', 'postcode': '4209', 'lat': -27.823818, 'lng': 153.31777}, {'name': '11-Seven Warana', 'type': 'U91', 'price': 159.9, 'suburb': 'Warana', 'state': 'QLD', 'postcode': '4575', 'lat': -26.719208293881, 'lng': 153.12927405702}, {'name': '11-Seven Nambour', 'type': 'U95', 'price': 172.9, 'suburb': 'Nambour', 'state': 'QLD', 'postcode': '4560', 'lat': -26.616482640241, 'lng': 152.96950246245}, {'name': '11-Seven Warana', 'type': 'U98', 'price': 180.9, 'suburb': 'Warana', 'state': 'QLD', 'postcode': '4575', 'lat': -26.719208293881, 'lng': 153.12927405702}, {'name': '11-Seven Eight Mile Plains', 'type': 'Diesel', 'price': 169.9, 'suburb': 'Eight Mile Plains', 'state': 'QLD', 'postcode': '4113', 'lat': -27.586109, 'lng': 153.103719}, {'name': '11-Seven Runaway Bay', 'type': 'LPG', 'price': 103.9, 'suburb': 'Runaway Bay', 'state': 'QLD', 'postcode': '4216', 'lat': -27.923504175192, 'lng': 153.40369593467}]}"
4,1730432449,"{'region': 'WA', 'prices': [{'name': '11-Seven Landsdale', 'type': 'U91', 'price': 157.9, 'suburb': 'Landsdale', 'state': 'WA', 'postcode': '6065', 'lat': -31.805033366763, 'lng': 115.83575668334}, {'name': '11-Seven Landsdale', 'type': 'U95', 'price': 170.9, 'suburb': 'Landsdale', 'state': 'WA', 'postcode': '6065', 'lat': -31.805033366763, 'lng': 115.83575668334}, {'name': '11-Seven Landsdale', 'type': 'U98', 'price': 178.9, 'suburb': 'Landsdale', 'state': 'WA', 'postcode': '6065', 'lat': -31.805033366763, 'lng': 115.83575668334}, {'name': '11-Seven Landsdale', 'type': 'Diesel', 'price': 165.9, 'suburb': 'Landsdale', 'state': 'WA', 'postcode': '6065', 'lat': -31.805033366763, 'lng': 115.83575668334}]}"
5,1730432449,"{'region': 'All-2', 'prices': [{'name': '11-Seven Albion Park Rail South', 'type': 'E10', 'price': 154.9, 'suburb': 'Albion Park Rail South', 'state': 'NSW', 'postcode': '2527', 'lat': -34.553516779973, 'lng': 150.7898157835}, {'name': '11-Seven Albion Park Rail South', 'type': 'U91', 'price': 156.9, 'suburb': 'Albion Park Rail South', 'state': 'NSW', 'postcode': '2527', 'lat': -34.553516779973, 'lng': 150.7898157835}, {'name': '11-Seven Albion Park Rail Northbnd', 'type': 'U95', 'price': 169.9, 'suburb': 'Albion Park Rail', 'state': 'NSW', 'postcode': '2527', 'lat': -34.558990259396, 'lng': 150.79353113856}, {'name': '11-Seven Albion Park Rail South', 'type': 'U98', 'price': 177.9, 'suburb': 'Albion Park Rail South', 'state': 'NSW', 'postcode': '2527', 'lat': -34.553516779973, 'lng': 150.7898157835}, {'name': '11-Seven Thornton', 'type': 'Diesel', 'price': 164.9, 'suburb': 'Thornton', 'state': 'NSW', 'postcode': '2322', 'lat': -32.793227, 'lng': 151.638049}, {'name': '11-Seven Mountain Gate', 'type': 'LPG', 'price': 82.5, 'suburb': 'Ferntree Gully', 'state': 'VIC', 'postcode': '3156', 'lat': -37.882138748327, 'lng': 145.27432201495}]}"
6,1730432449,"{'region': 'VIC-2', 'prices': [{'name': '11-Seven Armstrong Creek', 'type': 'E10', 'price': 164.5, 'suburb': 'Armstrong Creek', 'state': 'VIC', 'postcode': '3217', 'lat': -38.228066922954, 'lng': 144.33689967859}, {'name': '11-Seven Alfredton', 'type': 'U91', 'price': 165.9, 'suburb': 'Alfredton', 'state': 'VIC', 'postcode': '3350', 'lat': -37.555933832215, 'lng': 143.81820732948}, {'name': '11-Seven Alfredton', 'type': 'U95', 'price': 178.9, 'suburb': 'Alfredton', 'state': 'VIC', 'postcode': '3350', 'lat': -37.555933832215, 'lng': 143.81820732948}, {'name': '11-Seven Alfredton', 'type': 'U98', 'price': 186.9, 'suburb': 'Alfredton', 'state': 'VIC', 'postcode': '3350', 'lat': -37.555933832215, 'lng': 143.81820732948}, {'name': '11-Seven Yarraville', 'type': 'Diesel', 'price': 170.9, 'suburb': 'Yarraville', 'state': 'VIC', 'postcode': '3013', 'lat': -37.813216961809, 'lng': 144.88306624623}, {'name': '11-Seven Mountain Gate', 'type': 'LPG', 'price': 82.5, 'suburb': 'Ferntree Gully', 'state': 'VIC', 'postcode': '3156', 'lat': -37.882138748327, 'lng': 145.27432201495}]}"
7,1730432449,"{'region': 'NSW-2', 'prices': [{'name': '11-Seven Albion Park Rail South', 'type': 'E10', 'price': 154.9, 'suburb': 'Albion Park Rail South', 'state': 'NSW', 'postcode': '2527', 'lat': -34.553516779973, 'lng': 150.7898157835}, {'name': '11-Seven Albion Park Rail South', 'type': 'U91', 'price': 156.9, 'suburb': 'Albion Park Rail South', 'state': 'NSW', 'postcode': '2527', 'lat': -34.553516779973, 'lng': 150.7898157835}, {'name': '11-Seven Albion Park Rail Northbnd', 'type': 'U95', 'price': 169.9, 'suburb': 'Albion Park Rail', 'state': 'NSW', 'postcode': '2527', 'lat': -34.558990259396, 'lng': 150.79353113856}, {'name': '11-Seven Albion Park Rail South', 'type': 'U98', 'price': 177.9, 'suburb': 'Albion Park Rail South', 'state': 'NSW', 'postcode': '2527', 'lat': -34.553516779973, 'lng': 150.7898157835}, {'name': '11-Seven Thornton', 'type': 'Diesel', 'price': 164.9, 'suburb': 'Thornton', 'state': 'NSW', 'postcode': '2322', 'lat': -32.793227, 'lng': 151.638049}, {'name': '11-Seven Narrabeen Nth', 'type': 'LPG', 'price': 89.9, 'suburb': 'Narrabeen', 'state': 'NSW', 'postcode': '2101', 'lat': -33.707392193308, 'lng': 151.29635782918}]}"
8,1730432449,"{'region': 'QLD-2', 'prices': [{'name': '11-Seven Warana', 'type': 'E10', 'price': 157.9, 'suburb': 'Warana', 'state': 'QLD', 'postcode': '4575', 'lat': -26.719208293881, 'lng': 153.12927405702}, {'name': '11-Seven Maroochydore North', 'type': 'U91', 'price': 159.9, 'suburb': 'Maroochydore North', 'state': 'QLD', 'postcode': '4558', 'lat': -26.660067974986, 'lng': 153.10049505868}, {'name': '11-Seven Wurtulla', 'type': 'U95', 'price': 172.9, 'suburb': 'Wurtulla', 'state': 'QLD', 'postcode': '4575', 'lat': -26.758724798389, 'lng': 153.12512217277}, {'name': '11-Seven Maroochydore North', 'type': 'U98', 'price': 180.9, 'suburb': 'Maroochydore North', 'state': 'QLD', 'postcode': '4558', 'lat': -26.660067974986, 'lng': 153.10049505868}, {'name': '11-Seven Acacia Ridge East', 'type': 'Diesel', 'price': 169.9, 'suburb': 'Acacia Ridge', 'state': 'QLD', 'postcode': '4110', 'lat': -27.575638311517, 'lng': 153.03955333654}, {'name': '11-Seven Maroochydore North', 'type': 'LPG', 'price': 105.9, 'suburb': 'Maroochydore North', 'state': 'QLD', 'postcode': '4558', 'lat': -26.660067974986, 'lng': 153.10049505868}]}"
9,1730432449,"{'region': 'WA-2', 'prices': [{'name': '11-Seven Thornlie', 'type': 'U91', 'price': 157.9, 'suburb': 'Thornlie', 'state': 'WA', 'postcode': '6108', 'lat': -32.069517, 'lng': 115.952154}, {'name': '11-Seven Thornlie', 'type': 'U95', 'price': 170.9, 'suburb': 'Thornlie', 'state': 'WA', 'postcode': '6108', 'lat': -32.069517, 'lng': 115.952154}, {'name': '11-Seven Thornlie', 'type': 'U98', 'price': 178.9, 'suburb': 'Thornlie', 'state': 'WA', 'postcode': '6108', 'lat': -32.069517, 'lng': 115.952154}, {'name': '11-Seven Maddington South', 'type': 'Diesel', 'price': 165.9, 'suburb': 'Maddington', 'state': 'WA', 'postcode': '6109', 'lat': -32.05541071768, 'lng': 115.98855578522}]}"
